"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","3.13524804","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2.84596979","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2.67164948","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","1.63329685","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","1.67100585","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyeri","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","1.06914893","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","3.07142857","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","4.05","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2.25","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","0.99","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2.48339920","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2.27368421","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2.26315789","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","1.81097178","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","3.07225436","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","1.90685523","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2.24762381","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","1.71","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","0.58479532","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2.5","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Baringo","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","4.5","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","1.84904458","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","3","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2.5","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Bungoma","Crops Productivity","Crops Primary","Crop Yield","Wheat (Yield)","2.3","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
